,P1,P2
1130,Q16539,P10275
1131,Q16539,Q14289
1132,Q16539,Q02763
1133,Q16539,P14598
1134,Q16539,P36507
1135,Q16539,P35968
1136,Q16539,P07947
1137,Q16539,P07101
1138,Q16539,P01100
1139,Q16539,P08631
1140,Q16539,P15692
1141,P29460,P42336
1142,Q16539,P10276
1143,Q16539,P63000
1144,Q16539,P07948
1145,P29460,P29597
1146,P29460,P01375
1147,P29460,P01584
1148,P29460,P06239
1149,P29460,P05231
1150,P29460,Q00653
1151,P29460,P35228
1152,P29460,P27986
1153,P29460,Q04206
1154,P29460,O60674
1155,Q9BYV1,P05165
1156,Q9BYV1,P80404
1157,Q9BYV1,P48507
1158,Q9BYV1,Q9NUB1
1159,Q9BYV1,P20132
1160,Q9BYV1,Q8TD30
1161,Q9BYV1,P32929
1162,Q9BYV1,Q9NR19
1163,Q9BYV1,P34897
1164,Q9BYV1,Q9P0Z9
1165,Q9BYV1,P34896
1166,Q9BYV1,P24298
1167,Q9BYV1,P50440
1168,Q9BYV1,P13196
1169,Q9BYV1,P21549
1170,Q9BYV1,P05091
1171,Q9BYV1,P07195
1172,Q9BYV1,Q14749
1173,Q9BYV1,P05166
1174,Q9BYV1,Q06278
1175,Q9BYV1,P00338
1176,Q9BYV1,P22557
1177,P05113,O60674
1178,P05113,P32927
1179,P05113,P40933
1180,P05113,P01375
1181,P05113,P01589
1182,P05113,P42336
1183,P05113,P51692
1184,P05113,P08700
1185,P05113,P05231
1186,P05113,P01584
1187,P05113,P27986
1188,P05113,P07948
1189,P05113,P01583
1190,P05113,Q16552
1191,P04150,P01375
1192,P04150,P04083
1193,P04150,P03372
1194,P04150,Q15185
1195,P04150,P49841
1196,P04150,P19793
1197,P04150,Q15759
1198,P04150,P42336
1199,P04150,P01189
1200,P04150,Q16665
1201,P04150,P11142
1202,P04150,P45984
1203,P04150,P27797
1204,P04150,P08235
1205,P04150,P08238
1206,P04150,P51692
1207,P04150,P06850
1208,P04150,P10276
1209,P04150,P01100
1210,P04150,Q13882
1211,P04150,Q13547
1212,P04150,P09429
1213,P04150,P53779
1214,P04150,P16220
1215,P04150,Q9UBN7
1216,P04150,P04637
1217,P04150,Q92769
1218,P04150,P27361
1219,P04150,Q04206
1220,P04150,P06858
1221,P04150,P15336
1222,P04150,P27986
1223,P04150,P05412
1224,P04150,P45983
1225,P04150,P07900
1226,P04150,P10275
1227,P02788,P61626
1228,Q96SW2,Q12791
1229,P09455,Q8TC12
1230,P09455,Q9NYR8
1231,P09455,P31749
1232,P09455,P47989
1233,P09455,O75911
1234,P09455,Q96NR8
1235,P09455,Q9BTZ2
1236,P09455,P02753
1237,P09455,O14756
1238,P09455,P16233
1239,P09455,O95237
1240,P63316,P02585
1241,P10646,P08709
1242,P10646,P07204
1243,P10646,P01008
1244,P10646,P00742
1245,P38435,P07225
1246,P10646,P13726
1247,P38435,P00742
1248,P38435,Q9BQB6
1249,P38435,P15559
1250,P38435,P02818
1251,P38435,P00734
1252,P38435,P04070
1253,P38435,P08709
1254,P04070,P07225
1255,P04070,P05154
1256,P04070,P14770
1257,P04070,P05120
1258,P04070,P35222
1259,P04070,P03951
1260,P04070,P07359
1261,P04070,P49841
1262,P04070,P05160
1263,P04070,P00451
1264,P04070,P04275
1265,P04070,P07204
1266,P04070,P01008
1267,P04070,P02675
1268,P04070,P08697
1269,P04070,P02679
1270,P04070,P01023
1271,P04070,P00734
